name,box_office,genres,average,ratings_count,collect_count,wish_count,reviews_count
少年圆瑛,0,[],0,0,0,0,0
老师也疯狂,0,"[""动画"",""冒险""]",5.9,617,667,202,11
敌后文工队,0,"[""战争""]",5.8,215,331,26,1
十七,0,"[""爱情""]",6.7,7309,8293,3513,89
我的父亲母亲,0,"[""剧情"",""爱情""]",7.8,59956,87780,8192,281
我这一辈子,0,"[""剧情"",""历史""]",8.5,2947,3884,3601,20
公主复仇记,0,"[""剧情""]",6.8,23138,32225,5395,106
老港正传,0,"[""喜剧"",""剧情""]",7.1,13295,18908,4255,193
自娱自乐,0,"[""喜剧""]",5.8,4984,7122,474,22
猜猜猜,0,"[""喜剧"",""爱情"",""运动""]",8.2,590,752,33,2
小平您好,0,"[""纪录片""]",6.8,202,277,90,0
大惊小怪,0,"[""剧情""]",7.4,36,47,203,2
会唱歌的土豆,0,"[""剧情""]",7.1,314,417,57,0
黄飞鸿之英雄有梦,18423,"[""剧情"",""动作"",""爱情""]",5.4,41907,48892,3411,409
一夜惊喜,17597,"[""喜剧"",""爱情""]",5.6,82271,99538,6257,279
大魔术师,17364,"[""剧情"",""喜剧"",""爱情""]",6.6,125539,153999,13268,577
新娘大作战,17337,"[""喜剧"",""爱情""]",4,35124,40262,2522,102
云图,17020,"[""剧情"",""科幻"",""悬疑""]",8,254053,306008,71640,2281
武侠,17020,"[""剧情"",""动作"",""悬疑""]",6.6,110152,135844,9754,1390
危城,16735,"[""剧情"",""动作"",""犯罪""]",5.6,23123,25587,3485,329
最强囍事,16715,"[""喜剧"",""爱情""]",5.2,63406,83677,3767,186
南京！南京！,15981,"[""剧情"",""历史"",""战争""]",7.4,104312,134137,20935,3614
消失的子弹,15949,"[""动作"",""悬疑"",""犯罪""]",6.5,75487,90917,13706,518
剩者为王,6149,"[""剧情"",""爱情""]",5.6,43374,50127,2722,395
花田喜事2010,5984,"[""喜剧""]",5.2,53569,70329,2759,68
未来警察,5899,"[""科幻""]",3.9,31551,39842,2855,185
百星酒店,5831,"[""喜剧"",""爱情""]",5.7,17543,21574,1466,46
风云2,5593,"[""喜剧"",""动作""]",5.7,81264,94705,8939,218
线人,5276,"[""动作"",""剧情"",""惊悚""]",7.3,89481,115662,11144,513
黄金时代,5157,"[""剧情"",""传记"",""爱情""]",7.1,86948,102499,33957,1720
太平轮：彼岸,5104,"[""剧情"",""爱情"",""灾难""]",6.5,34832,39196,8648,417
阿童木,4532,"[""动画"",""动作"",""家庭""]",6.8,37935,49267,14402,249
暴疯语,4489,"[""悬疑"",""惊悚""]",5.9,27867,32457,4073,149
麦兜·我和我妈妈,4439,"[""喜剧"",""动画"",""家庭""]",8.3,36810,42933,10907,207
控制,4363,"[""传记"",""剧情"",""音乐""]",7.9,10622,15504,11013,130
大武生,4268,"[""剧情"",""动作"",""爱情""]",5.3,37555,46582,2865,553
十月初五的月光,4262,"[""剧情"",""爱情""]",5.4,12468,14393,2864,159
江山美人,4079,"[""动作"",""剧情"",""爱情""]",4.5,16923,22217,468,253
家有喜事2009,3992,"[""剧情"",""喜剧"",""爱情""]",8,67036,94870,3852,51
摇滚藏獒,3962,"[""动画"",""音乐""]",6.8,3942,3612,2663,100
72家租客 2011,3810,[],0,12,17,21,0
爱在深秋,113,"[""爱情""]",4.1,314,369,106,3
歌舞青春,111,"[""剧情"",""喜剧"",""家庭""]",7.7,96819,132752,6430,169
哈！哈！哈！,111,"[""奇幻"",""冒险""]",8.6,203924,277532,6885,152
铁三角,106,"[""动作""]",6.3,18953,26727,2878,190
终极胜利,106,"[""剧情"",""历史"",""战争""]",6.5,175,195,486,26
婚前试爱,104,"[""剧情"",""爱情""]",5.7,49133,66619,4771,194
奇缘灰姑娘,103,"[""剧情"",""爱情""]",4.6,551,650,56,1
精武青春,97,"[""喜剧"",""爱情""]",3.5,573,637,224,13
幸运是我,96,"[""剧情"",""家庭""]",7.8,6057,6686,7281,119
潜龙风云,85,"[""剧情"",""爱情"",""犯罪""]",5.4,5433,6115,1016,26
炮制女朋友,0,"[""喜剧"",""爱情""]",4.6,17806,26770,195,7
左麟右李,0,"[""喜剧""]",4.7,817,1180,52,5
卧虎藏龙,0,"[""剧情"",""动作"",""武侠""]",4.7,25126,27822,3203,311
小城之春,0,"[""剧情"",""爱情""]",8.6,17976,24006,12725,152
柔道龙虎榜,0,"[""剧情""]",7.3,12410,15723,2653,70
千机变2,0,"[""动作"",""冒险"",""喜剧""]",5.3,55079,79659,827,12
后备甜心,0,"[""爱情""]",6.3,4592,6890,462,25
明明,0,"[""动作"",""悬疑"",""爱情""]",4.9,19966,29879,2932,184
醒狮,0,"[""喜剧"",""剧情""]",5.4,1349,1944,227,11
借兵,0,"[""动作"",""犯罪""]",5.8,1210,1651,113,5
